RuleID,Commit,File,SymlinkFile,Secret,Match,StartLine,EndLine,StartColumn,EndColumn,Author,Message,Date,Email,Fingerprint,Tags
slack-bot-token,,gitleaks-history.json,,xoxb-123456789012-1234567890123-AbCdEfGhIjKlMnOpQrStUvWx,xoxb-123456789012-1234567890123-AbCdEfGhIjKlMnOpQrStUvWx,9,9,14,69,,,,,gitleaks-history.json:slack-bot-token:9,
slack-bot-token,,gitleaks-history.json,,xoxb-123456789012-1234567890123-AbCdEfGhIjKlMnOpQrStUvWx,xoxb-123456789012-1234567890123-AbCdEfGhIjKlMnOpQrStUvWx,10,10,15,70,,,,,gitleaks-history.json:slack-bot-token:10,
slack-bot-token,,gitleaks-report.json,,xoxb-123456789012-1234567890123-AbCdEfGhIjKlMnOpQrStUvWx,xoxb-123456789012-1234567890123-AbCdEfGhIjKlMnOpQrStUvWx,9,9,14,69,,,,,gitleaks-report.json:slack-bot-token:9,
slack-bot-token,,gitleaks-report.json,,xoxb-123456789012-1234567890123-AbCdEfGhIjKlMnOpQrStUvWx,xoxb-123456789012-1234567890123-AbCdEfGhIjKlMnOpQrStUvWx,10,10,15,70,,,,,gitleaks-report.json:slack-bot-token:10,
slack-bot-token,,gitleaks-clean.json,,xoxb-123456789012-1234567890123-AbCdEfGhIjKlMnOpQrStUvWx,xoxb-123456789012-1234567890123-AbCdEfGhIjKlMnOpQrStUvWx,9,9,14,69,,,,,gitleaks-clean.json:slack-bot-token:9,
slack-bot-token,,gitleaks-clean.json,,xoxb-123456789012-1234567890123-AbCdEfGhIjKlMnOpQrStUvWx,xoxb-123456789012-1234567890123-AbCdEfGhIjKlMnOpQrStUvWx,10,10,15,70,,,,,gitleaks-clean.json:slack-bot-token:10,
slack-bot-token,,gitleaks-clean.json,,xoxb-123456789012-1234567890123-AbCdEfGhIjKlMnOpQrStUvWx,xoxb-123456789012-1234567890123-AbCdEfGhIjKlMnOpQrStUvWx,29,29,14,69,,,,,gitleaks-clean.json:slack-bot-token:29,
slack-bot-token,,gitleaks-clean.json,,xoxb-123456789012-1234567890123-AbCdEfGhIjKlMnOpQrStUvWx,xoxb-123456789012-1234567890123-AbCdEfGhIjKlMnOpQrStUvWx,30,30,15,70,,,,,gitleaks-clean.json:slack-bot-token:30,
slack-bot-token,,gitleaks-clean.json,,xoxb-123456789012-1234567890123-AbCdEfGhIjKlMnOpQrStUvWx,xoxb-123456789012-1234567890123-AbCdEfGhIjKlMnOpQrStUvWx,49,49,14,69,,,,,gitleaks-clean.json:slack-bot-token:49,
slack-bot-token,,gitleaks-clean.json,,xoxb-123456789012-1234567890123-AbCdEfGhIjKlMnOpQrStUvWx,xoxb-123456789012-1234567890123-AbCdEfGhIjKlMnOpQrStUvWx,50,50,15,70,,,,,gitleaks-clean.json:slack-bot-token:50,
slack-bot-token,,gitleaks-clean.json,,xoxb-123456789012-1234567890123-AbCdEfGhIjKlMnOpQrStUvWx,xoxb-123456789012-1234567890123-AbCdEfGhIjKlMnOpQrStUvWx,69,69,14,69,,,,,gitleaks-clean.json:slack-bot-token:69,
slack-bot-token,,gitleaks-clean.json,,xoxb-123456789012-1234567890123-AbCdEfGhIjKlMnOpQrStUvWx,xoxb-123456789012-1234567890123-AbCdEfGhIjKlMnOpQrStUvWx,70,70,15,70,,,,,gitleaks-clean.json:slack-bot-token:70,
